time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth_km
2024-04-03T00:00:19.188,999,0.65013,0,0,28.8423,33,18,15,4974,-2.32835,-20.62046,31.05861,121.60215,23.81382,31.05861
2024-04-03T00:00:58.128,999,0.56083,0,0,19.99793,20,7,13,4975,1.17151,24.68985,24.72163,121.63653,24.22291,24.72163
2024-04-02T23:58:09.715,999,0.63674,0,0,47.99637,48,46,2,10145,-2.34396,-16.67298,21.45667,121.60199,23.84946,21.45667
2024-04-03T00:01:49.671,999,0.57621,0,0,29.2164,29,19,10,10330,16.93063,-2.44468,41.98648,121.79136,23.97784,41.98648
2024-04-03T00:02:22.687,999,0.50361,0,0,18.03819,16,9,7,10331,15.90621,22.34168,34.77739,121.78157,24.20163,34.77739
2024-04-03T00:03:46.676,999,0.49918,0,0,15.99784,15,6,9,10332,5.55294,-3.41575,38.96315,121.67956,23.96915,38.96315
2024-04-03T00:04:44.820,999,0.47728,0,0,28.65369,30,20,10,10333,11.16624,18.8893,34.2715,121.73489,24.1705,34.2715
2024-04-03T00:06:12.577,999,0.49802,0,0,16.9987,18,7,11,10334,26.07248,22.7971,15.54445,121.88165,24.20561,15.54445
2024-04-03T00:07:04.712,999,0.37361,0,0,13.0,13,8,5,10335,-6.4118,2.9417,15.35339,121.56197,24.02655,15.35339
2024-04-03T00:07:22.567,999,0.52016,0,0,21.77057,25,13,12,10336,-8.9724,-18.11963,21.26399,121.53693,23.83638,21.26399
2024-04-03T00:08:40.442,999,0.49012,0,0,24.9578,24,16,8,10337,20.88829,2.4543,20.59846,121.83032,24.02202,20.59846
2024-04-03T00:08:55.094,999,0.52772,0,0,19.58546,20,14,6,10338,-29.33213,4.63394,30.95759,121.33664,24.04157,30.95759
2024-04-03T00:09:31.258,999,0.41583,0,0,40.37892,42,23,19,10339,11.0764,22.84574,20.42578,121.73403,24.20623,20.42578
2024-04-03T00:09:49.447,999,0.56989,0,0,25.0,23,12,11,10340,7.97559,8.66097,36.52497,121.70343,24.07818,36.52497
