station_id,phase_index,phase_time,phase_score,phase_type,dt_s,phase_amplitude,event_index,gamma_score,time,polarity,h3dd_event_index,magnitude
F059,8629149,2024-04-02T23:58:14.140000,0.698,P,0.01,2.325,10145,0.2906880416152007,2024-04-02 23:58:14.140,D,177,6.461644873872068
SM06,8629344,2024-04-02T23:58:14.200000,0.853,P,0.01,1.398,10145,0.3489691202432924,2024-04-02 23:58:14.200,U,177,6.54215412834857
SHUL,8629457,2024-04-02T23:58:14.570000,0.364,P,0.01,0.01508,10145,0.1165553832453612,2024-04-02 23:58:14.570,U,177,
HWA,8629467,2024-04-02T23:58:14.670000,0.443,P,0.01,0.0171,10145,0.1797505384510908,2024-04-02 23:58:14.670,U,177,
ESL,8629418,2024-04-02T23:58:14.710000,0.756,P,0.01,2.227,10145,0.3149203421463338,2024-04-02 23:58:14.710,D,177,6.40063804646609
SM02,8629361,2024-04-02T23:58:15.010000,0.813,P,0.01,1.13,10145,0.3266494168624215,2024-04-02 23:58:15.010,U,177,6.559730682122531
SM39,8629509,2024-04-02T23:58:15.180000,0.794,P,0.01,3.341,10145,0.3303127688937469,2024-04-02 23:58:15.180,U,177,7.008644636816216
EGC,8629521,2024-04-02T23:58:15.260000,0.448,P,0.01,2.719,10145,0.1593579976021681,2024-04-02 23:58:15.260,U,177,6.466763425220478
SM09,8629465,2024-04-02T23:58:15.260000,0.736,P,0.01,1.646,10145,0.3051316636294928,2024-04-02 23:58:15.260,U,177,6.770642517867564
F002,8629624,2024-04-02T23:58:16.960000,0.643,P,0.01,0.5277,10145,0.2147463901217404,2024-04-02 23:58:16.960,D,177,6.190117549626359
NACB,8629703,2024-04-02T23:58:17.038000,0.567,P,0.01,0.01951,10145,0.2236828749957274,2024-04-02 23:58:17.038,D,177,
SM39,8629798,2024-04-02T23:58:18.070000,0.436,S,0.01,3.341,10145,0.0825168877081396,2024-04-02 23:58:18.070,x,177,7.008644636816216
SM02,8629670,2024-04-02T23:58:18.100000,0.332,S,0.01,1.13,10145,0.1340942696834635,2024-04-02 23:58:18.100,x,177,6.559730682122531
EHYH,8629854,2024-04-02T23:58:18.540000,0.555,P,0.01,0.01501,10145,0.1982608477202446,2024-04-02 23:58:18.540,U,177,
