station_id,total_seconds,phase_type,dist,azimuth,takeoff_angle,elevation,h3dd_event_index,magnitude,time
F059,86294.14,P,7.2,286,149,0.04,177,6.461644873872068,2024-04-02 23:58:14.140
SM06,86294.2,P,8.7,2,147,0.0,177,6.54215412834857,2024-04-02 23:58:14.200
SHUL,86294.57,P,7.4,190,152,0.035,177,,2024-04-02 23:58:14.570
HWA,86294.67,P,14.1,16,128,0.016,177,,2024-04-02 23:58:14.670
ESL,86294.71,P,14.3,252,132,0.18,177,6.40063804646609,2024-04-02 23:58:14.710
SM02,86295.01,P,16.9,16,121,0.0,177,6.559730682122531,2024-04-02 23:58:15.010
SM39,86295.18,P,20.6,5,114,0.0,177,7.008644636816216,2024-04-02 23:58:15.180
EGC,86295.26,P,16.3,190,130,0.009,177,6.466763425220478,2024-04-02 23:58:15.260
SM09,86295.26,P,20.1,14,115,0.0,177,6.770642517867564,2024-04-02 23:58:15.260
F002,86296.96,P,28.8,191,108,0.018,177,6.190117549626359,2024-04-02 23:58:16.960
NACB,86297.04,P,35.6,3,100,0.215,177,,2024-04-02 23:58:17.040
SM39,86298.07,S,20.6,5,96,0.0,177,7.008644636816216,2024-04-02 23:58:18.070
SM02,86298.1,S,16.9,16,96,0.0,177,6.559730682122531,2024-04-02 23:58:18.100
EHYH,86298.54,P,46.2,211,99,0.168,177,,2024-04-02 23:58:18.540
HGSD,86299.39,P,42.8,201,100,0.1348,177,,2024-04-02 23:58:19.390
WUSB,86299.48,P,49.0,288,96,1.5524,177,,2024-04-02 23:58:19.480
YULB,86300.05,P,58.4,209,97,0.3761,177,,2024-04-02 23:58:20.050
SSLB,86301.6,P,63.7,264,86,0.516,177,,2024-04-02 23:58:21.600
ECB,86301.64,P,60.8,192,97,0.063,177,6.655675621085562,2024-04-02 23:58:21.640
WPL,86301.82,P,65.3,286,80,0.465,177,6.467757243749874,2024-04-02 23:58:21.820
B148,86302.32,P,66.9,280,81,0.5889500000000001,177,6.545223254057618,2024-04-02 23:58:22.320
SML,86302.6,P,68.0,273,85,0.999,177,6.97111683460416,2024-04-02 23:58:22.600
E077,86302.68,P,72.0,348,77,0.792,177,6.975358830539978,2024-04-02 23:58:22.680
F042,86302.84,P,77.0,204,92,0.207,177,6.229279147608693,2024-04-02 23:58:22.840
LATB,86303.0,P,75.7,356,77,1.02,177,,2024-04-02 23:58:23.000
B078,86303.25,P,73.6,266,84,0.289,177,6.515342966688682,2024-04-02 23:58:23.250
YUS,86303.61,P,74.7,237,93,3.856,177,6.950598092940968,2024-04-02 23:58:23.610
B189,86303.72,P,77.6,297,79,0.538,177,6.406751508207686,2024-04-02 23:58:23.720
EOS4,86303.99,P,81.2,68,73,-2.732,177,6.9460899486643655,2024-04-02 23:58:23.990
G041,86304.5,P,92.1,210,92,0.437,177,6.293791448036888,2024-04-02 23:58:24.500
ESA,86304.65,P,84.6,19,78,0.033,177,,2024-04-02 23:58:24.650
B071,86304.76,P,80.7,281,79,0.219,177,6.507331900819003,2024-04-02 23:58:24.760
ELD,86304.91,P,92.7,217,92,1.058,177,5.829077592462392,2024-04-02 23:58:24.910
CHK,86305.01,P,86.1,194,49,0.037,177,6.623151480641884,2024-04-02 23:58:25.010
SYNB,86305.07,P,90.0,222,93,2.352,177,,2024-04-02 23:58:25.070
E023,86305.6,P,91.5,2,77,0.144,177,7.045386203952964,2024-04-02 23:58:25.600
ALS,86305.75,P,86.5,244,86,2.417,177,6.822112326314749,2024-04-02 23:58:25.750
NDS,86305.77,P,87.7,9,77,0.15,177,,2024-04-02 23:58:25.770
