station_id,phase_index,phase_time,phase_score,phase_type,dt_s,phase_amplitude,polarity,magnitude
F059,8629149,2024-04-02T23:58:14.140000,0.698,P,0.01,2.325,D,6.461644873872068
SM06,8629344,2024-04-02T23:58:14.200000,0.853,P,0.01,1.398,U,6.54215412834857
SHUL,8629457,2024-04-02T23:58:14.570000,0.364,P,0.01,0.01508,U,
HWA,8629467,2024-04-02T23:58:14.670000,0.443,P,0.01,0.0171,U,
ESL,8629418,2024-04-02T23:58:14.710000,0.756,P,0.01,2.227,D,6.40063804646609
SM02,8629361,2024-04-02T23:58:15.010000,0.813,P,0.01,1.13,U,6.559730682122531
SM39,8629509,2024-04-02T23:58:15.180000,0.794,P,0.01,3.341,U,7.008644636816216
EGC,8629521,2024-04-02T23:58:15.260000,0.448,P,0.01,2.719,U,6.466763425220478
SM09,8629465,2024-04-02T23:58:15.260000,0.736,P,0.01,1.646,U,6.770642517867564
F002,8629624,2024-04-02T23:58:16.960000,0.643,P,0.01,0.5277,D,6.190117549626359
NACB,8629703,2024-04-02T23:58:17.038000,0.567,P,0.01,0.01951,D,
SM39,8629798,2024-04-02T23:58:18.070000,0.436,S,0.01,3.341,x,7.008644636816216
SM02,8629670,2024-04-02T23:58:18.100000,0.332,S,0.01,1.13,x,6.559730682122531
EHYH,8629854,2024-04-02T23:58:18.540000,0.555,P,0.01,0.01501,U,
HGSD,8629939,2024-04-02T23:58:19.390000,0.419,P,0.01,0.01431,D,
WUSB,8629947,2024-04-02T23:58:19.478000,0.454,P,0.01,0.02372,D,
YULB,8630004,2024-04-02T23:58:20.048000,0.68,P,0.01,0.005309,U,
SSLB,8630159,2024-04-02T23:58:21.598000,0.408,P,0.01,0.007454,U,
ECB,8630140,2024-04-02T23:58:21.640000,0.531,P,0.01,0.1933,x,6.655675621085562
WPL,8629855,2024-04-02T23:58:21.820000,0.691,P,0.01,0.1563,D,6.467757243749874
B148,8630072,2024-04-02T23:58:22.320000,0.713,P,0.01,0.2124,D,6.545223254057618
SML,8630048,2024-04-02T23:58:22.600000,0.777,P,0.01,0.1529,U,6.97111683460416
E077,8630051,2024-04-02T23:58:22.680000,0.541,P,0.01,0.471,x,6.975358830539978
F042,8630229,2024-04-02T23:58:22.840000,0.383,P,0.01,0.1284,x,6.229279147608693
LATB,8630299,2024-04-02T23:58:22.998000,0.378,P,0.01,0.01674,D,
B078,8630189,2024-04-02T23:58:23.250000,0.423,P,0.01,0.08719,x,6.515342966688682
YUS,8630213,2024-04-02T23:58:23.610000,0.592,P,0.01,0.2715,U,6.950598092940968
B189,8630124,2024-04-02T23:58:23.720000,0.836,P,0.01,0.1264,U,6.406751508207686
EOS4,8630399,2024-04-02T23:58:23.990000,0.328,P,0.01,0.001489,x,6.9460899486643655
G041,8630421,2024-04-02T23:58:24.500000,0.705,P,0.01,0.2188,U,6.293791448036888
ESA,8630465,2024-04-02T23:58:24.650000,0.404,P,0.01,0.01259,U,
B071,8630037,2024-04-02T23:58:24.760000,0.674,P,0.01,0.1031,U,6.507331900819003
ELD,8630299,2024-04-02T23:58:24.910000,0.438,P,0.01,0.001738,U,5.829077592462392
CHK,8630475,2024-04-02T23:58:25.010000,0.681,P,0.01,0.1818,U,6.623151480641884
SYNB,8630400,2024-04-02T23:58:25.073000,0.545,P,0.01,0.004064,U,
E023,8630553,2024-04-02T23:58:25.600000,0.46,P,0.01,0.2396,x,7.045386203952964
ALS,8629991,2024-04-02T23:58:25.750000,0.711,P,0.01,0.1097,U,6.822112326314749
NDS,8630577,2024-04-02T23:58:25.770000,0.405,P,0.01,0.01066,D,
B215,8630387,2024-04-02T23:58:26.080000,0.436,P,0.01,0.3962,D,7.064485734205039
EOS3,8630611,2024-04-02T23:58:26.110000,0.464,P,0.01,0.002078,x,
SHUL,8630729,2024-04-02T23:58:27.290000,0.342,P,0.01,0.00622,x,
B068,8630713,2024-04-02T23:58:27.330000,0.449,P,0.01,0.09077,x,6.672520581936275
B090,8630711,2024-04-02T23:58:27.570000,0.671,P,0.01,0.08725,U,6.851406749903974
B045,8630751,2024-04-02T23:58:27.840000,0.563,P,0.01,0.1804,D,7.23433867632602
C024,8630695,2024-04-02T23:58:28.000000,0.706,P,0.01,0.1806,U,6.448030356639372
B138,8630783,2024-04-02T23:58:28.160000,0.7,P,0.01,0.1519,x,6.541487174937227
WCKO,8630947,2024-04-02T23:58:29.470000,0.453,P,0.01,0.004535,U,
LDU,8630953,2024-04-02T23:58:29.530000,0.333,P,0.01,0.0004947,D,
TPUB,8630996,2024-04-02T23:58:29.968000,0.508,P,0.01,0.002717,U,
SHUL,8633306,2024-04-02T23:58:53.060000,0.328,P,0.01,0.01572,x,
GWUB,8634646,2024-04-02T23:59:06.460000,0.408,S,0.01,0.01545,x,
SM39,8636317,2024-04-02T23:59:23.260000,0.559,P,0.01,0.7148,x,
SM09,8636285,2024-04-02T23:59:23.460000,0.682,P,0.01,0.2539,x,
SM02,8636220,2024-04-02T23:59:23.600000,0.392,P,0.01,0.1498,x,
SM06,8636310,2024-04-02T23:59:23.860000,0.703,P,0.01,0.4454,x,
SM39,8636581,2024-04-02T23:59:25.900000,0.5,S,0.01,0.7148,x,
SM06,8636623,2024-04-02T23:59:26.990000,0.534,S,0.01,0.4454,x,
ESL,8637202,2024-04-02T23:59:32.550000,0.523,P,0.01,0.113,x,
ELD,8639070,2024-04-02T23:59:52.620000,0.424,P,0.01,0.004627,x,
SM09,8639244,2024-04-02T23:59:53.050000,0.693,P,0.01,0.2173,x,
SM39,8639480,2024-04-02T23:59:54.890000,0.376,S,0.01,0.1625,x,
SM09,8639439,2024-04-02T23:59:55.000000,0.36,S,0.01,0.122,x,
SM09,1693,2024-04-03T00:00:17.420000,0.344,P,0.01,0.0647,x,
SM39,1761,2024-04-03T00:00:18.060000,0.864,P,0.01,0.3958,x,
SM09,1765,2024-04-03T00:00:18.140000,0.38,P,0.01,0.1091,x,
SM02,1656,2024-04-03T00:00:18.200000,0.671,P,0.01,0.06718,x,
E077,1867,2024-04-03T00:00:19.070000,0.303,S,0.01,0.01028,x,
SM09,1926,2024-04-03T00:00:19.750000,0.326,S,0.01,0.1091,x,
SM39,1931,2024-04-03T00:00:19.760000,0.905,S,0.01,0.3958,x,
